name,idade,local
Conor McGregor,32,"Dublin, Irlanda"
Dan Hooker,30,"Aukland, Nova Zelândia"
Tony Ferguson,36,"Oxnard, Estados Unidos"
Rafael Dos Anjos,36,Brasil
Michael Chandler,34,"High Ridge, Estados Unidos"
Beneil Dariush,31,"Goetapeh, Irã"
Islam Makhachev,28,"Dagestan Republic, Rússia"
Justin Gaethje,31,"Tucson, Estados Unidos"
Alex Caceres,32,"Miami, Estados Unidos"
Shane Burgos,29,"New York, Estados Unidos"
Jorge Masvidal,35,"Miami, Estados Unidos"
Movsar Evloev,26,"Ingushetia, Rússia"
Sodiq Yusuff,27,"Lagos, Nigéria"
Bryce Mitchell,27,"Texarkana, Estados Unidos"
Edson Barboza,34,"Nova Friburgo, Brasil"
Dan Ige,28,"San Clemente, Estados Unidos"
Giga Chikadze,32,"Tbilisi, Geórgia"
Arnold Allen,27,"Ipswich, Reino Unido"
Josh Emmett,35,"Phoenix, Estados Unidos"
Calvin Kattar,32,"Methuen, Estados Unidos"
Chan Sung Jung,34,"Po-Hang, Coreia do Sul"
Yair Rodriguez,27,"Hidalgo Del Parral, México"
Brian Ortega,29,"Carson, Estados Unidos"
Raphael Assuncao,,"Recife, Brasil"
Song Yadong,22,"Heilongjiang, China"
Ricky Simon,28,"Pendleton, Estados Unidos"
Sean O'Malley,25,"Helena, Estados Unidos"
Frankie Edgar,39,"Summit, Estados Unidos"
Marlon Moraes,32,"Nova Friburgo, Brasil"
Pedro Munhoz,34,Brasil
Marlon Vera,27,"Chone, Equador"
Dominick Cruz,35,Estados Unidos
Merab Dvalishvili,30,"Tbilisi, Geórgia"
Rob Font,32,"Leominster, Estados Unidos"
Cory Sandhagen,29,"Aurora, Estados Unidos"
José Aldo,34,"Manaus, Brasil"
TJ Dillashaw,35,"Sonora, Estados Unidos"
Aljamain Sterling,30,Estados Unidos
Tagir Ulanbekov,29,Rússia
Manel Kape,27,"Luanda, Angola"
Tim Elliott,34,"Wichita, Estados Unidos"
Stipe Miocic,37,"Euclid, Estados Unidos"
Glover Teixeira,41,"Sobralia, Brasil"
Petr Yan,27,"Krasnoyarsk Krai, Rússia"
Dustin Poirier,31,"Lafayette, Estados Unidos"
Jon Jones,33,"Rochester, Estados Unidos"
Max Holloway,28,"Waianae, Estados Unidos"
Charles Oliveira,31,"Guarujá, Brasil"
Francis Ngannou,33,"Batie, Camarões"
Alexander Volkanovski,31,"Shellharbour, Austrália"
Israel Adesanya,30,"Lagos, Nigéria"
